"Numero requete","Valeur"
"1024","http://db.uwaterloo.ca/~galuc/wsdbm/User822"
"1","http://db.uwaterloo.ca/~galuc/wsdbm/Offer642"
"1","http://db.uwaterloo.ca/~galuc/wsdbm/Offer311"
"1","http://db.uwaterloo.ca/~galuc/wsdbm/Offer195"
"1025","http://db.uwaterloo.ca/~galuc/wsdbm/User178"
"1025","http://db.uwaterloo.ca/~galuc/wsdbm/User953"
"1025","http://db.uwaterloo.ca/~galuc/wsdbm/User816"
"3","http://db.uwaterloo.ca/~galuc/wsdbm/Offer821"
"3","http://db.uwaterloo.ca/~galuc/wsdbm/Offer469"
"3","http://db.uwaterloo.ca/~galuc/wsdbm/Offer439"
"1027","http://db.uwaterloo.ca/~galuc/wsdbm/User658"
"4","http://db.uwaterloo.ca/~galuc/wsdbm/Offer729"
"4","http://db.uwaterloo.ca/~galuc/wsdbm/Offer213"
"4","http://db.uwaterloo.ca/~galuc/wsdbm/Offer818"
"4","http://db.uwaterloo.ca/~galuc/wsdbm/Offer716"
"4","http://db.uwaterloo.ca/~galuc/wsdbm/Offer424"
"4","http://db.uwaterloo.ca/~galuc/wsdbm/Offer238"
"4","http://db.uwaterloo.ca/~galuc/wsdbm/Offer810"
"4","http://db.uwaterloo.ca/~galuc/wsdbm/Offer633"
"4","http://db.uwaterloo.ca/~galuc/wsdbm/Offer434"
"4","http://db.uwaterloo.ca/~galuc/wsdbm/Offer763"
"4","http://db.uwaterloo.ca/~galuc/wsdbm/Offer67"
"4","http://db.uwaterloo.ca/~galuc/wsdbm/Offer576"
"4","http://db.uwaterloo.ca/~galuc/wsdbm/Offer773"
"4","http://db.uwaterloo.ca/~galuc/wsdbm/Offer559"
"4","http://db.uwaterloo.ca/~galuc/wsdbm/Offer170"
"1028","http://db.uwaterloo.ca/~galuc/wsdbm/User378"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer721"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer786"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer194"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer496"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer524"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer304"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer279"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer472"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer506"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer627"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer99"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer490"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer184"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer331"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer249"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer495"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer699"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer422"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer179"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer81"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer652"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer587"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer749"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer864"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer478"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer716"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer767"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer241"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer442"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer445"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer545"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer805"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer19"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer521"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer356"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer553"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer199"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer213"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer394"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer595"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer836"
"5","http://db.uwaterloo.ca/~galuc/wsdbm/Offer386"
