"Numero requete","Clé Dans Dic","Valeur"
"1024","1883","http://db.uwaterloo.ca/~galuc/wsdbm/User822"
"1","8571","http://db.uwaterloo.ca/~galuc/wsdbm/Offer195"
"1","8881","http://db.uwaterloo.ca/~galuc/wsdbm/Offer311"
"1","9674","http://db.uwaterloo.ca/~galuc/wsdbm/Offer642"
"1025","406","http://db.uwaterloo.ca/~galuc/wsdbm/User178"
"1025","1868","http://db.uwaterloo.ca/~galuc/wsdbm/User816"
"1025","2177","http://db.uwaterloo.ca/~galuc/wsdbm/User953"
"3","9201","http://db.uwaterloo.ca/~galuc/wsdbm/Offer439"
"3","9274","http://db.uwaterloo.ca/~galuc/wsdbm/Offer469"
"3","10076","http://db.uwaterloo.ca/~galuc/wsdbm/Offer821"
"1027","1505","http://db.uwaterloo.ca/~galuc/wsdbm/User658"
"4","8209","http://db.uwaterloo.ca/~galuc/wsdbm/Offer67"
"4","8497","http://db.uwaterloo.ca/~galuc/wsdbm/Offer170"
"4","8621","http://db.uwaterloo.ca/~galuc/wsdbm/Offer213"
"4","8689","http://db.uwaterloo.ca/~galuc/wsdbm/Offer238"
"4","9162","http://db.uwaterloo.ca/~galuc/wsdbm/Offer424"
"4","9185","http://db.uwaterloo.ca/~galuc/wsdbm/Offer434"
"4","9480","http://db.uwaterloo.ca/~galuc/wsdbm/Offer559"
"4","9518","http://db.uwaterloo.ca/~galuc/wsdbm/Offer576"
"4","9652","http://db.uwaterloo.ca/~galuc/wsdbm/Offer633"
"4","9841","http://db.uwaterloo.ca/~galuc/wsdbm/Offer716"
"4","9873","http://db.uwaterloo.ca/~galuc/wsdbm/Offer729"
"4","9944","http://db.uwaterloo.ca/~galuc/wsdbm/Offer763"
"4","9969","http://db.uwaterloo.ca/~galuc/wsdbm/Offer773"
"4","10049","http://db.uwaterloo.ca/~galuc/wsdbm/Offer810"
"4","10068","http://db.uwaterloo.ca/~galuc/wsdbm/Offer818"
"1028","871","http://db.uwaterloo.ca/~galuc/wsdbm/User378"
"5","8039","http://db.uwaterloo.ca/~galuc/wsdbm/Offer13"
"5","8047","http://db.uwaterloo.ca/~galuc/wsdbm/Offer16"
"5","8055","http://db.uwaterloo.ca/~galuc/wsdbm/Offer19"
"5","8082","http://db.uwaterloo.ca/~galuc/wsdbm/Offer29"
"5","8093","http://db.uwaterloo.ca/~galuc/wsdbm/Offer32"
"5","8113","http://db.uwaterloo.ca/~galuc/wsdbm/Offer37"
"5","8142","http://db.uwaterloo.ca/~galuc/wsdbm/Offer45"
"5","8146","http://db.uwaterloo.ca/~galuc/wsdbm/Offer46"
"5","8197","http://db.uwaterloo.ca/~galuc/wsdbm/Offer63"
